,end_pos,file,line,start_pos,text,Y,Predicted_Values,Train_Accuracy,Val_Accuracy,Test_Accuracy
53,927,ML14041A484.txt,35,609,"['in', 'accordance', 'with', 'inspection', 'procedure', 'each', 'of', 'the', 'following', 'was', 'performance', 'deficiency', 'against', 'expected', 'licensed', 'operator', 'knowledge', 'and', 'greater', 'than', 'percent', 'of', 'the', 'crews', 'failing', 'their', 'and', 'greater', 'than', 'percent', 'of', 'the', 'licensed', 'operator', 'staff', 'failing', 'their', 'operating']",H,O,0.9166666865348816,0.800000011920929,0.7058823529411765
61,2682,ML14041A484.txt,35,2420,"['the', 'licensee', 'eventually', 'determined', 'that', 'the', 'probable', 'cause', 'of', 'the', 'failures', 'was', 'the', 'failure', 'to', 'adequately', 'chemically', 'clean', 'the', 'system', 'following', 'the', 'failure', 'of', 'charcoal', 'in', 'that', 'some', 'charcoal', 'and', 'cleaning', 'agent', 'was', 'not', 'removed', 'following', 'the', 'work']",O,O,0.9166666865348816,0.800000011920929,0.7058823529411765
197,2254,ML14041A484.txt,103,2017,"['the', 'inspectors', 'determined', 'that', 'failure', 'to', 'assess', 'risk', 'associated', 'with', 'an', 'emergent', 'maintenance', 'activity', 'in', 'accordance', 'with', 'station', 'procedure', 'ap', 'nuclear', 'safety', 'and', 'generation', 'risk', 'was', 'performance']",O,O,0.9166666865348816,0.800000011920929,0.7058823529411765
205,348,ML14041A484.txt,107,189,"['the', 'analyst', 'made', 'the', 'bounding', 'assumption', 'that', 'inappropriate', 'maintenance', 'on', 'the', 'breaker', 'could', 'have', 'resulted', 'in', 'the', 'failure', 'of', 'bus']",O/T,O,0.9166666865348816,0.800000011920929,0.7058823529411765
293,2563,ML14041A484.txt,145,2303,"['the', 'licensee', 'confirmed', 'on', 'november', 'that', 'edcp', 'was', 'not', 'correctly', 'applying', 'the', 'default', 'noble', 'gas', 'to', 'iodine', 'resulting', 'in', 'an', 'overestimate', 'of', 'the', 'concentration', 'of', 'iodine', 'and', 'particulates', 'by', 'factor', 'of', 'and', 'an', 'overestimate', 'of', 'the', 'thyroid', 'cde']",O,O,0.9166666865348816,0.800000011920929,0.7058823529411765
371,1027,ML14041A484.txt,183,772,"['the', 'licensee', 'failed', 'to', 'determine', 'the', 'cause', 'of', 'the', 'train', 'class', 'air', 'conditioner', 'slug', 'flow', 'in', 'the', 'refrigerant', 'prior', 'to', 'experiencing', 'multiple', 'failures', 'and', 'plant', 'shutdowns', 'of', 'the', 'train', 'class', 'air', 'conditioner', 'slug', 'flow', 'in', 'the']",O,O,0.9166666865348816,0.800000011920929,0.7058823529411765
410,785,ML14041A484.txt,191,621,"['because', 'the', 'licensee', 'was', 'unable', 'to', 'clearly', 'identify', 'the', 'root', 'the', 'final', 'report', 'was', 'in', 'fact', 'documented', 'the', 'most', 'probable', 'cause', 'based', 'on', 'the', 'analyses']",O,O,0.9166666865348816,0.800000011920929,0.7058823529411765
414,1387,ML14041A484.txt,191,1100,"['the', 'performance', 'deficiency', 'is', 'more', 'than', 'minor', 'because', 'it', 'affected', 'the', 'equipment', 'performance', 'attribute', 'of', 'the', 'mitigating', 'systems', 'cornerstone', 'objective', 'to', 'ensure', 'the', 'and', 'capability', 'of', 'systems', 'that', 'respond', 'to', 'initiating', 'events', 'to', 'prevent', 'undesirable']",O,O,0.9166666865348816,0.800000011920929,0.7058823529411765
417,2227,ML14041A484.txt,191,2111,"['the', 'inspectors', 'determined', 'that', 'the', 'cause', 'of', 'the', 'finding', 'had', 'aspect', 'in', 'the', 'area', 'of', 'human']",T,O,0.9166666865348816,0.800000011920929,0.7058823529411765
467,700,ML14041A484.txt,203,424,"['the', 'two', 'operators', 'were', 'unable', 'to', 'complete', 'their', 'rr', 'prior', 'to', 'completion', 'of', 'the', 'biennial', 'cycle', 'that', 'ended', 'in', 'the', 'nrc', 'was', 'unable', 'to', 'complete', 'the', 'assessment', 'of', 'that', 'aspect', 'of', 'the', 'requalification', 'program', 'in', 'accordance', 'with', 'inspection', 'procedure']",T,O,0.9166666865348816,0.800000011920929,0.7058823529411765
801,2485,ML14087A338.txt,82,2258,"['the', 'team', 'determined', 'that', 'the', 'licensee', 'had', 'not', 'met', 'commitment', 'to', 'develop', 'reactor', 'vessel', 'internals', 'program', 'aging', 'management', 'program', 'as', 'described', 'in', 'letter', 'to', 'attachment', 'arkansas', 'nuclear', 'unit']",O,O,0.9166666865348816,0.800000011920929,0.7058823529411765
919,3078,ML14087A338.txt,100,2922,"['the', 'team', 'determined', 'that', 'the', 'failure', 'to', 'assess', 'previous', 'indications', 'of', 'concrete', 'as', 'specified', 'in', 'plant', 'was', 'performance']",O,O,0.9166666865348816,0.800000011920929,0.7058823529411765
1759,2013,ML12027A131.txt,99,1852,"['the', 'performance', 'deficiency', 'affected', 'the', 'and', 'capability', 'of', 'the', 'unit', 'tdafw', 'pump', 'to', 'provide', 'secondary', 'decay', 'heat']",O,O,0.9166666865348816,0.800000011920929,0.7058823529411765
2534,2030,ML11244A041.txt,43,1682,"['resulting', 'corrective', 'actions', 'included', 'lowering', 'the', 'threshold', 'for', 'bechtel', 'personnel', 'entering', 'issues', 'into', 'the', 'encouraging', 'personnel', 'to', 'enter', 'issues', 'into', 'thorough', 'and', 'timely', 'resolution', 'of', 'cap', 'and', 'the', 'use', 'of', 'the', 'point', 'beach', 'cap', 'for', 'all', 'issues', 'or', 'events', 'related', 'to', 'equipment', 'problems', 'within', 'the', 'scope', 'of', 'the', 'bechtel']",O,O,0.9166666865348816,0.800000011920929,0.7058823529411765
2544,151,ML11244A041.txt,45,0,"['since', 'it', 'had', 'been', 'previously', 'even', 'though', 'newly', 'installed', 'equipment', 'may', 'have', 'affected', 'the', 'corrective', 'actions', 'or', 'priority', 'of', 'the', 'initial']",H,O,0.9166666865348816,0.800000011920929,0.7058823529411765
3312,137,ML13182A476.txt,80,25,"['the', 'inspectors', 'also', 'verified', 'that', 'this', 'switch', 'was', 'not', 'operated', 'or', 'tested', 'as', 'part', 'of', 'routine', 'breaker']",O,O,0.9166666865348816,0.800000011920929,0.7058823529411765
3324,2462,ML13182A476.txt,80,2110,"['this', 'performance', 'deficiency', 'was', 'more', 'than', 'minor', 'because', 'it', 'was', 'associated', 'with', 'the', 'protection', 'against', 'external', 'factors', 'attribute', 'of', 'the', 'mitigating', 'systems', 'cornerstone', 'and', 'affected', 'the', 'cornerstone', 'objective', 'of', 'ensuring', 'the', 'and', 'capability', 'of', 'systems', 'that', 'respond', 'to', 'initiating', 'events', 'to', 'prevent', 'undesirable']",O,O,0.9166666865348816,0.800000011920929,0.7058823529411765
