Coder,Train_Accuracy,Val_Accuracy,Test_Accuracy,#TestData,#AllData
Binary_Classification,0.772321403,0.860000014,0.691176471,136,634
Sally,0.855111241,0.839999974,0.626865672,67,317
Trixy,0.848301709,0.833333313,0.44,100,395
Frenard,0.904206991,0.828571439,0.376811594,69,413
Sally_Trixy_Agree,0.95094341,0.883333266,0.538461538,26,144
Sally_Frenard_Agree,0.95471704,0.76666671,0.727272727,11,70
Sally_Trixy_DisAgree,1,0.714285731,0.611111111,18,84
Sally_Frenard_DisAgree,0.958333313,0.949999988,0.866666667,15,62
Trixy_Sally_DisAgree,0.934042573,0.800000012,0.655172414,29,134
Frenard_Sally_DisAgree,0.894736826,0.836363733,0.296296296,27,133